"ID","step","angle","TimeNum","locType","time","temp","nu.x","nu.y","se.mu.x","se.nu.x","se.mu.y","se.nu.y","speed","x","y"
"AM306",160.504499475918,0.398899188966472,NA,"p",2008-09-17 19:01:00,23.9850005926017,-477.917423056209,-270.252735199701,4.12310562561766,253.16002844051,4.12310562561766,253.16002844051,549.036978848972,353843.700547993,-2694469.73055402
"AM306",304.35303334714,-0.45913053341221,NA,"p",2008-09-17 20:01:00,22.9840620956149,-199.535359528195,-287.185450471803,4.12310562561766,249.857959649077,4.12310562561766,249.857959649077,349.699646360614,353744.565614073,-2694595.96034143
"AM306",229.556943750576,-0.1760689634243,NA,"p",2008-09-17 21:01:00,21.9846020436077,-258.062986710712,-20.6593569065813,4.12310562561766,251.201114647209,4.12310562561766,251.201114647209,258.888613380054,353469.973968952,-2694727.2241877
"AM306",631.906247157195,-0.0235058500708973,NA,"p",2008-09-17 22:01:00,20.9795095838651,12.3868356907727,-26.4477147172468,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,29.2047138694265,353248.724550002,-2694788.42128761
"AM306",474.755006681417,-0.351468071102257,NA,"p",2008-09-17 23:01:00,21.0042654496551,-861.233224881296,-119.23997470749,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,869.448583418065,352635.895451637,-2694942.51866395
"AM306",28.2095220005644,-1.9789790718061,NA,"p",2008-09-18 00:01:00,19.981723331219,-192.134353252933,40.1851235413401,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,196.291756968946,352163.76124551,-2694892.70292574
"AM306",11.1300104798019,-0.3668104282002,NA,"p",2008-09-18 01:01:00,20.0206966132812,-29.0121058573272,-22.3379335163826,4.12310562561766,251.338417278378,4.12310562561766,251.338417278378,36.615373274884,352177.613800101,-2694868.12887718
"AM306",1.66928933124984,-0.417885426423156,339360.016666667,"p",2008-09-18 02:01:00,21,-42.0408144278075,5.74801707209904,0,252.083319559228,0,252.083319559228,42.4319428970026,352186.192954741,-2694861.03837374
"AM306",387.809370731639,2.64137081346947,NA,"p",2008-09-18 03:01:00,20.9790812724255,-93.7035664472274,-44.9510978031118,4.12310562561766,251.119493468747,4.12310562561766,251.119493468747,103.927665030226,352187.800516518,-2694860.58862714
"AM306",1082.05174523726,0.194685578158543,NA,"p",2008-09-18 04:01:00,20.0279750992808,-285.065692031868,-301.129036395042,4.12310562561766,251.205095489721,4.12310562561766,251.205095489721,414.657865394851,351809.977329359,-2694773.14866332
"AM306",1380.96075423158,-0.355265975717217,NA,"p",2008-09-18 05:01:00,21.0131165788249,-1658.6873288595,513.542533086125,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,1736.36677813404,350728.505511717,-2694737.72710184
"AM306",480.884467940771,-0.45435033196468,NA,"p",2008-09-18 06:01:00,23.032016769346,-1150.86576962477,731.609930827117,4.12310562561766,251.21504732002,4.12310562561766,251.21504732002,1363.72471950129,349450.198758033,-2694215.24796521
"AM306",298.870130109765,-0.839260732046174,NA,"p",2008-09-18 07:01:00,25.0321032267814,265.91097428375,-186.235743260234,4.12310562561766,253.24888943488,4.12310562561766,253.24888943488,324.641954023544,349130.071409321,-2693856.40489071
"AM306",518.433595542191,-1.40104197171358,NA,"p",2008-09-18 08:01:00,27.0300399077675,70.3933086657506,662.59445846623,4.12310562561766,249.857959649077,4.12310562561766,249.857959649077,666.323220588228,349163.125073768,-2693559.36817591
"AM306",401.369067743748,-0.0401956757965154,NA,"p",2008-09-18 09:01:00,30.0739563286848,824.367836014318,-131.151855240567,4.12310562561766,251.201114647209,4.12310562561766,251.201114647209,834.7353701551,349680.658667572,-2693528.83340439
"AM306",413.26784302755,0.244582927035125,NA,"p",2008-09-18 10:01:00,33.0129295971827,197.272251017134,-18.6449641772766,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,198.151395933864,350081.957285294,-2693521.31356694
"AM306",182.355462310534,-0.085099955962369,NA,"p",2008-09-18 11:01:00,33.0156304026528,453.146463684927,132.165453687433,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,472.026932175019,350480.98031419,-2693413.74529796
"AM306",72.638829846319,-0.703006448087332,NA,"p",2008-09-18 12:01:00,34.9871517448358,-16.7716193406093,-38.9546798046679,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,42.4117235442101,350660.447428087,-2693381.41776072
"AM306",188.878905931775,0.858724416972706,NA,"p",2008-09-18 13:01:00,35.0242184458466,201.952737512217,71.1297066239459,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,214.112921966627,350723.311303209,-2693417.81189219
"AM306",262.604172270994,-0.16685637750768,NA,"p",2008-09-18 14:01:00,34.9838831484822,235.923823936509,15.4283542175194,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,236.427758130652,350901.756366921,-2693355.90389318
